Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"903","Unassigned","HLE Glascoat Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/HLE_Glascoat_Limited/screenshots/HLE_Glascoat_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (HLE Glascoat Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"904","Unassigned","HLV LIMITED","N/A","No","No","No","7.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/HLV_LIMITED/screenshots/HLV_LIMITED_Homepage_WAVE_Overlay.png)","Company Secretary (HLV LIMITED)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"905","Unassigned","HMA Agro Industries Limited","N/A","No","No","No","6.8 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/HMA_Agro_Industries_Limited/screenshots/HMA_Agro_Industries_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (HMA Agro Industries Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"906","Unassigned","HMT Limited","N/A","No","No","No","2.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/HMT_Limited/screenshots/HMT_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (HMT Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"907","Unassigned","Hindustan Media Ventures Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Hindustan_Media_Ventures_Limited/screenshots/Hindustan_Media_Ventures_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Hindustan Media Ventures Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"908","Unassigned","Hindustan Foods Limited","N/A","No","No","No","5.4 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Hindustan_Foods_Limited/screenshots/Hindustan_Foods_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Hindustan Foods Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"909","Unassigned","Home First Finance Company India Limited","N/A","No","No","No","3.1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Home_First_Finance_Company_India_Limited/screenshots/Home_First_Finance_Company_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Home First Finance Company India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"910","Unassigned","Honasa Consumer Limited","N/A","No","No","No","1.8 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Honasa_Consumer_Limited/screenshots/Honasa_Consumer_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Honasa Consumer Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"911","Unassigned","Honeywell Automation India Limited","N/A","No","No","No","6.8 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Honeywell_Automation_India_Limited/screenshots/Honeywell_Automation_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Honeywell Automation India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"912","Unassigned","Honda India Power Products Limited","N/A","No","No","No","7.4 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Honda_India_Power_Products_Limited/screenshots/Honda_India_Power_Products_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Honda India Power Products Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"913","Unassigned","HP Adhesives Limited","N/A","No","No","No","3.4 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/HP_Adhesives_Limited/screenshots/HP_Adhesives_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (HP Adhesives Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"914","Unassigned","Hindprakash Industries Limited","N/A","No","No","No","3.8 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Hindprakash_Industries_Limited/screenshots/Hindprakash_Industries_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Hindprakash Industries Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"915","Unassigned","HPL Electric & Power Limited","N/A","No","No","No","2.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/HPL_Electric___Power_Limited/screenshots/HPL_Electric___Power_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (HPL Electric & Power Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"916","Unassigned","Himadri Speciality Chemical Limited","N/A","No","No","No","2.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Himadri_Speciality_Chemical_Limited/screenshots/Himadri_Speciality_Chemical_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Himadri Speciality Chemical Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"917","Unassigned","HT Media Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/HT_Media_Limited/screenshots/HT_Media_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (HT Media Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"918","Unassigned","Hubtown Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Hubtown_Limited/screenshots/Hubtown_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Hubtown Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"919","Unassigned","Housing & Urban Development Corporation Limited","N/A","No","No","No","6.2 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Housing___Urban_Development_Corporation_Limited/screenshots/Housing___Urban_Development_Corporation_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Housing & Urban Development Corporation Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"920","Unassigned","Huhtamaki India Limited","N/A","No","No","No","7.8 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Huhtamaki_India_Limited/screenshots/Huhtamaki_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Huhtamaki India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"921","Unassigned","Hybrid Financial Services Limited","N/A","No","No","No","2.2 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Hybrid_Financial_Services_Limited/screenshots/Hybrid_Financial_Services_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Hybrid Financial Services Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"922","Unassigned","Hyundai Motor India Limited","N/A","No","No","No","2.3 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Hyundai_Motor_India_Limited/screenshots/Hyundai_Motor_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Hyundai Motor India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"923","Unassigned","Indiabulls Limited","N/A","No","No","No","6.2 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Indiabulls_Limited/screenshots/Indiabulls_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Indiabulls Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"924","Unassigned","ICDS Limited","N/A","No","No","No","4.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ICDS_Limited/screenshots/ICDS_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ICDS Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"925","Unassigned","Ice Make Refrigeration Limited","N/A","No","No","No","6.3 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Ice_Make_Refrigeration_Limited/screenshots/Ice_Make_Refrigeration_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Ice Make Refrigeration Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"926","Unassigned","ICICI Prudential Asset Management Company Limited","N/A","No","No","No","1.7 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ICICI_Prudential_Asset_Management_Company_Limited/screenshots/ICICI_Prudential_Asset_Management_Company_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ICICI Prudential Asset Management Company Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"927","Unassigned","ICICI Bank Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ICICI_Bank_Limited/screenshots/ICICI_Bank_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ICICI Bank Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"928","Unassigned","ICICI Lombard General Insurance Company Limited","N/A","No","No","No","1.4 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ICICI_Lombard_General_Insurance_Company_Limited/screenshots/ICICI_Lombard_General_Insurance_Company_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ICICI Lombard General Insurance Company Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"929","Unassigned","ICICI Prudential Life Insurance Company Limited","N/A","No","No","No","3 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ICICI_Prudential_Life_Insurance_Company_Limited/screenshots/ICICI_Prudential_Life_Insurance_Company_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ICICI Prudential Life Insurance Company Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"930","Unassigned","Indo Count Industries Limited","N/A","No","No","No","2.3 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Indo_Count_Industries_Limited/screenshots/Indo_Count_Industries_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Indo Count Industries Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"931","Unassigned","ICRA Limited","N/A","No","No","No","2 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/ICRA_Limited/screenshots/ICRA_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (ICRA Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"932","Unassigned","IDBI Bank Limited","N/A","No","No","No","4.4 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/IDBI_Bank_Limited/screenshots/IDBI_Bank_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (IDBI Bank Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"933","Unassigned","Vodafone Idea Limited","N/A","No","No","No","2.2 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Vodafone_Idea_Limited/screenshots/Vodafone_Idea_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Vodafone Idea Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"934","Unassigned","Ideaforge Technology Limited","N/A","No","No","No","1.4 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Ideaforge_Technology_Limited/screenshots/Ideaforge_Technology_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Ideaforge Technology Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"935","Unassigned","IDFC First Bank Limited","N/A","No","No","No","5.2 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/IDFC_First_Bank_Limited/screenshots/IDFC_First_Bank_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (IDFC First Bank Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"936","Unassigned","Indian Energy Exchange Limited","N/A","No","No","No","3.9 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Indian_Energy_Exchange_Limited/screenshots/Indian_Energy_Exchange_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Indian Energy Exchange Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"937","Unassigned","IFB Agro Industries Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/IFB_Agro_Industries_Limited/screenshots/IFB_Agro_Industries_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (IFB Agro Industries Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"938","Unassigned","IFB Industries Limited","N/A","No","No","No","1.2 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/IFB_Industries_Limited/screenshots/IFB_Industries_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (IFB Industries Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"939","Unassigned","IFCI Limited","N/A","No","No","No","2.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/IFCI_Limited/screenshots/IFCI_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (IFCI Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"940","Unassigned","IFGL Refractories Limited","N/A","No","No","No","6.5 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/IFGL_Refractories_Limited/screenshots/IFGL_Refractories_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (IFGL Refractories Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"941","Unassigned","Igarashi Motors India Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Igarashi_Motors_India_Limited/screenshots/Igarashi_Motors_India_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Igarashi Motors India Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"942","Unassigned","Indogulf Cropsciences Limited","N/A","No","No","No","5.5 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Indogulf_Cropsciences_Limited/screenshots/Indogulf_Cropsciences_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Indogulf Cropsciences Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"943","Unassigned","International Gemological Institute Limited","N/A","No","No","No","4.1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/International_Gemological_Institute_Limited/screenshots/International_Gemological_Institute_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (International Gemological Institute Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"944","Unassigned","Indraprastha Gas Limited","N/A","No","No","No","1 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_nse__100_first_Simple_Accessibility_Outreach_Tracker_EQUITY_L_from_nse_dataset_2390_uncategorized1_20260810_131716_attempt4_succesful_reviewnotdone_orchavatecore_digital_digital/Indraprastha_Gas_Limited/screenshots/Indraprastha_Gas_Limited_Homepage_WAVE_Overlay.png)","Company Secretary (Indraprastha Gas Limited)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
