Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"111","Unassigned","NIIT Ltd","https://niit.com","Yes","Yes","Yes","1 out of 10","33","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/NIIT_Ltd/screenshots/NIIT_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (NIIT Ltd)","Company Secretary & Compliance Officer","info@niit.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@niit.com"
"112","Unassigned","Jaykay Enterprises Ltd","https://jaykaydowdall.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Jaykay_Enterprises_Ltd/screenshots/Jaykay_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jaykay Enterprises Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"113","Unassigned","Nirlon Ltd","https://nirlonkitchenware.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Nirlon_Ltd/screenshots/Nirlon_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Nirlon Ltd)","Company Secretary & Compliance Officer","info@nirlonkitchenware.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@nirlonkitchenware.com"
"114","Unassigned","Oil and Natural Gas Corporation Ltd","https://ongcindia.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Oil_and_Natural_Gas_Corporation_Ltd/screenshots/Oil_and_Natural_Gas_Corporation_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Oil and Natural Gas Corporation Ltd)","Company Secretary & Compliance Officer","ongcdelhicc@ongc.co.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","ongcdelhicc@ongc.co.in"
"115","Unassigned","Oriental Hotels Ltd","https://oriental-hotels.com","Yes","Yes","Yes","1 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Oriental_Hotels_Ltd/screenshots/Oriental_Hotels_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Oriental Hotels Ltd)","Company Secretary & Compliance Officer","info@oriental-hotels.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@oriental-hotels.com"
"116","Unassigned","Oswal Agro Mills Ltd","https://oswalagromills.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Oswal_Agro_Mills_Ltd/screenshots/Oswal_Agro_Mills_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Oswal Agro Mills Ltd)","Company Secretary & Compliance Officer","oswal@oswalagromills.com","General Contact Email","Managing Director / CEO","oswal@oswalagromills.com"
"117","Unassigned","Panyam Cements & Mineral Industries Ltd","https://panyamcements.com","Yes","Yes","Yes","1 out of 10","17","32","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Panyam_Cements___Mineral_Industries_Ltd/screenshots/Panyam_Cements___Mineral_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Panyam Cements & Mineral Industries Ltd)","Company Secretary & Compliance Officer","you@email.com","General Contact Email","Managing Director / CEO","you@email.com"
"118","Unassigned","Reliance Industries Ltd","https://reliancedigital.in","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Reliance_Industries_Ltd/screenshots/Reliance_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Reliance Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"119","Unassigned","Raymond Ltd","https://raymond.in","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Raymond_Ltd/screenshots/Raymond_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Raymond Ltd)","Company Secretary & Compliance Officer","info@raymond.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@raymond.in"
"120","Unassigned","Pidilite Industries Ltd","https://pidilite.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Pidilite_Industries_Ltd/screenshots/Pidilite_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Pidilite Industries Ltd)","Company Secretary & Compliance Officer","info@pidilite.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@pidilite.com"
"121","Unassigned","Pix Transmissions Ltd","https://pixtrans.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Pix_Transmissions_Ltd/screenshots/Pix_Transmissions_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Pix Transmissions Ltd)","Company Secretary & Compliance Officer","info@pixtrans.com","General Contact Email","Managing Director / CEO","info@pixtrans.com"
"122","Unassigned","Birla Corporation Ltd","https://birlasoft.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Birla_Corporation_Ltd/screenshots/Birla_Corporation_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Birla Corporation Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"123","Unassigned","Surya Roshni Ltd","https://surya.co.in","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Surya_Roshni_Ltd/screenshots/Surya_Roshni_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Surya Roshni Ltd)","Company Secretary & Compliance Officer","consumercare@surya.in","General Contact Email","Managing Director / CEO","consumercare@surya.in"
"124","Unassigned","Prime Securities Ltd","https://primesec.com","Yes","Yes","Yes","2.3 out of 10","11","56","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Prime_Securities_Ltd/screenshots/Prime_Securities_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Prime Securities Ltd)","Company Secretary & Compliance Officer","prime@primesec.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","prime@primesec.com"
"125","Unassigned","Prism Johnson Ltd","https://prismjohnson.in","Yes","Yes","Yes","3.6 out of 10","9","64","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Prism_Johnson_Ltd/screenshots/Prism_Johnson_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Prism Johnson Ltd)","Company Secretary & Compliance Officer","info@prismjohnson.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@prismjohnson.in"
"126","Unassigned","Rain Industries Ltd","https://rainbowshops.com","Yes","Yes","Yes","1 out of 10","42","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Rain_Industries_Ltd/screenshots/Rain_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Rain Industries Ltd)","Company Secretary & Compliance Officer","customerservice@rainbowshops.com","General Contact Email","Managing Director / CEO","customerservice@rainbowshops.com"
"127","Unassigned","AMJ Land Holdings Ltd","https://amjlandscaping.com","Yes","Yes","Yes","1 out of 10","41","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/AMJ_Land_Holdings_Ltd/screenshots/AMJ_Land_Holdings_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (AMJ Land Holdings Ltd)","Company Secretary & Compliance Officer","In%66%6F@amjl%61ndsc%61p%69ng.c%6Fm","General Contact Email","Managing Director / CEO","In%66%6F@amjl%61ndsc%61p%69ng.c%6Fm"
"128","Unassigned","Punjab Communications Ltd","https://puncom.com","Yes","Yes","Yes","1 out of 10","20","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Punjab_Communications_Ltd/screenshots/Punjab_Communications_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Punjab Communications Ltd)","Company Secretary & Compliance Officer","%20hrd@puncom.com","General Contact Email","Managing Director / CEO","%20hrd@puncom.com"
"129","Unassigned","RSWM Ltd","https://rswm.in","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/RSWM_Ltd/screenshots/RSWM_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (RSWM Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"130","Unassigned","Rajshree Sugars & Chemicals Ltd","https://rajshreesugars.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Rajshree_Sugars___Chemicals_Ltd/screenshots/Rajshree_Sugars___Chemicals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Rajshree Sugars & Chemicals Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"131","Unassigned","Rallis India Ltd","https://rallis.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Rallis_India_Ltd/screenshots/Rallis_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Rallis India Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"132","Unassigned","Shree Rama Newsprint Ltd","https://ramanewsprint.com","Yes","Yes","Yes","1 out of 10","38","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Shree_Rama_Newsprint_Ltd/screenshots/Shree_Rama_Newsprint_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Shree Rama Newsprint Ltd)","Company Secretary & Compliance Officer","marketing@ramanewsprint.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","grievances@ramanewsprint.com"
"133","Unassigned","Rama Paper Mills Ltd","https://ramapaper.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Rama_Paper_Mills_Ltd/screenshots/Rama_Paper_Mills_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Rama Paper Mills Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"134","Unassigned","Rapicut Carbides Ltd","https://rapicutcarbides.com","Yes","Yes","Yes","1 out of 10","14","44","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Rapicut_Carbides_Ltd/screenshots/Rapicut_Carbides_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Rapicut Carbides Ltd)","Company Secretary & Compliance Officer","sales@rapicutcarbides.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","investors@rapicutcarbides.com"
"135","Unassigned","Rubfila International Ltd","https://rubfila.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Rubfila_International_Ltd/screenshots/Rubfila_International_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Rubfila International Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"136","Unassigned","Patanjali Foods Ltd","https://patanjalifoods.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Patanjali_Foods_Ltd/screenshots/Patanjali_Foods_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Patanjali Foods Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"137","Unassigned","Salora International Ltd","https://salora.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Salora_International_Ltd/screenshots/Salora_International_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Salora International Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"138","Unassigned","Samtel India Ltd","https://samtel.co","Yes","Yes","Yes","6.3 out of 10","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Samtel_India_Ltd/screenshots/Samtel_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Samtel India Ltd)","Company Secretary & Compliance Officer","contacto@digitalprof-it.com","General Contact Email","Managing Director / CEO","contacto@digitalprof-it.com"
"139","Unassigned","Jindal Saw Ltd","https://jindalsaw.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Jindal_Saw_Ltd/screenshots/Jindal_Saw_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jindal Saw Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"140","Unassigned","JK Lakshmi Cement Ltd","https://jklakshmicement.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/JK_Lakshmi_Cement_Ltd/screenshots/JK_Lakshmi_Cement_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (JK Lakshmi Cement Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"141","Unassigned","Shree Cement Ltd","https://shreecementlimited.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Shree_Cement_Ltd/screenshots/Shree_Cement_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Shree Cement Ltd)","Company Secretary & Compliance Officer","info@shreecementlimited.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@shreecementlimited.com"
"142","Unassigned","Shree Krishna Paper Mills & Industries Ltd","https://skpmil.com","Yes","Yes","Yes","7.8 out of 10","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Shree_Krishna_Paper_Mills___Industries_Ltd/screenshots/Shree_Krishna_Paper_Mills___Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Shree Krishna Paper Mills & Industries Ltd)","Company Secretary & Compliance Officer","info@skpmil.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","info@skpmil.com"
"143","Unassigned","Reliance Infrastructure Ltd","https://rinfra.com","Yes","Yes","Yes","1 out of 10","18","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Reliance_Infrastructure_Ltd/screenshots/Reliance_Infrastructure_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Reliance Infrastructure Ltd)","Company Secretary & Compliance Officer","info@rinfra.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@rinfra.com"
"144","Unassigned","Steelco Gujarat Ltd","https://steelcogujarat.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/projects/Steelco_Gujarat_Ltd/screenshots/Steelco_Gujarat_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Steelco Gujarat Ltd)","Company Secretary & Compliance Officer","info@steelcogujarat.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@steelcogujarat.com"
